data,concessoes_milhoes,inadimplencia_nao_consignado_pct,juros_nao_consignado_pct_mes,saldo_nao_consignado_milhoes,inadimplencia_consignado_pct,selic_pct_mes,ipca_pct_mes
2011-03-01,6198,6.9,4.72,67845,2.73,0.92,0.79
2011-04-01,5871,7.09,4.86,69215,2.73,0.84,0.77
2011-05-01,6663,7.44,4.89,70433,2.76,0.99,0.47
2011-06-01,6786,7.38,4.9,72007,2.74,0.96,0.15
2011-07-01,6327,7.62,5.03,72312,2.76,0.97,0.16
2011-08-01,7061,7.92,4.96,73732,2.76,1.07,0.37
2011-09-01,6630,8.04,4.96,75579,2.74,0.94,0.53
2011-10-01,6390,8.26,5.06,76862,2.83,0.88,0.43
2011-11-01,6999,8.38,4.84,78388,2.85,0.86,0.52
2011-12-01,6865,8.51,4.67,79699,2.85,0.91,0.5
2012-01-01,6777,8.77,5.03,80563,2.89,0.89,0.56
2012-02-01,6580,8.62,5.09,81719,2.87,0.75,0.45
2012-03-01,7548,8.0,4.89,82674,2.85,0.82,0.21
2012-04-01,7261,8.24,4.63,83607,2.88,0.71,0.64
2012-05-01,8113,8.65,4.4,85042,2.88,0.74,0.36
2012-06-01,7489,8.73,4.34,85986,2.79,0.64,0.08
2012-07-01,6890,9.08,4.46,86035,2.74,0.68,0.43
2012-08-01,7159,9.3,4.43,86896,2.81,0.69,0.41
2012-09-01,6045,9.19,4.36,88538,2.77,0.54,0.57
2012-10-01,7272,8.86,4.41,89577,2.77,0.61,0.59
2012-11-01,6794,8.8,4.33,90505,2.7,0.55,0.6
2012-12-01,6627,8.95,4.34,89678,2.75,0.55,0.79
2013-01-01,7199,8.89,4.43,90475,2.74,0.6,0.86
2013-02-01,6273,8.59,4.52,91368,2.77,0.49,0.6
2013-03-01,7070,8.46,4.42,92337,2.73,0.55,0.47
2013-04-01,7657,8.27,4.41,93417,2.67,0.61,0.55
2013-05-01,7699,8.15,4.42,94355,2.85,0.6,0.37
2013-06-01,6887,7.65,4.66,95380,2.68,0.61,0.26
2013-07-01,7080,7.68,4.98,95477,2.74,0.72,0.03
2013-08-01,7136,7.38,4.98,96232,2.73,0.71,0.24
2013-09-01,6762,7.27,5.11,97369,2.77,0.71,0.35
2013-10-01,7118,7.05,5.39,98367,2.7,0.81,0.57
2013-11-01,6501,7.03,5.32,99152,2.67,0.72,0.54
2013-12-01,6639,7.17,5.31,97525,2.67,0.79,0.92
2014-01-01,7013,7.05,5.55,98737,2.64,0.85,0.55
2014-02-01,6606,6.86,5.73,99375,2.6,0.79,0.69
2014-03-01,6603,6.98,5.68,100199,2.63,0.77,0.92
2014-04-01,6982,7.09,5.91,101238,2.61,0.82,0.67
2014-05-01,7080,7.35,5.83,102202,2.68,0.87,0.46
2014-06-01,6650,7.19,5.95,102499,2.52,0.82,0.4
2014-07-01,6906,7.46,6.0,102401,2.55,0.95,0.01
2014-08-01,6840,7.51,5.95,103032,2.58,0.87,0.25
2014-09-01,7344,7.41,5.78,103502,2.59,0.91,0.57
2014-10-01,7458,7.55,6.1,103876,2.49,0.95,0.42
2014-11-01,6473,7.5,6.1,103660,2.42,0.84,0.51
2014-12-01,7215,7.65,6.03,102599,2.37,0.96,0.78
2015-01-01,7072,7.88,6.27,103564,2.37,0.94,1.24
2015-02-01,6281,7.79,6.3,104265,2.42,0.82,1.22
2015-03-01,8269,7.39,6.15,105072,2.31,1.04,1.32
2015-04-01,7421,7.51,6.51,106123,2.28,0.95,0.71
2015-05-01,7125,7.78,6.46,106832,2.32,0.99,0.74
2015-06-01,7567,7.17,6.49,107274,2.26,1.07,0.79
2015-07-01,7068,7.51,6.62,107344,2.27,1.18,0.62
2015-08-01,6871,7.96,6.79,107916,2.28,1.11,0.22
2015-09-01,6686,8.15,6.72,108371,2.28,1.11,0.54
2015-10-01,5940,8.06,7.16,108243,2.27,1.11,0.82
2015-11-01,6234,8.97,6.81,108331,2.28,1.06,1.01
2015-12-01,7329,9.79,6.7,107452,2.3,1.16,0.96
2016-01-01,6199,9.88,6.73,107742,2.3,1.06,1.27
2016-02-01,6380,10.09,6.91,107726,2.3,1.0,0.9
2016-03-01,7204,10.09,7.04,108045,2.28,1.16,0.43
2016-04-01,6691,10.6,7.21,109474,2.27,1.06,0.61
2016-05-01,6858,10.22,7.18,109123,2.35,1.11,0.78
2016-06-01,7072,9.64,7.12,107979,2.23,1.16,0.35
2016-07-01,6179,9.76,7.27,107415,2.26,1.11,0.52
2016-08-01,6555,9.83,7.27,106932,2.29,1.22,0.44
2016-09-01,5618,9.97,7.38,106602,2.28,1.11,0.08
2016-10-01,6291,9.29,7.42,105734,2.28,1.05,0.26
2016-11-01,5931,9.14,7.49,105154,2.35,1.04,0.18
2016-12-01,5807,9.22,7.56,101894,2.33,1.12,0.3
2017-01-01,6195,9.03,7.6,101385,2.34,1.09,0.38
2017-02-01,5769,8.73,7.64,101492,2.31,0.87,0.33
2017-03-01,6915,8.75,7.38,102082,2.33,1.05,0.25
2017-04-01,6178,8.58,7.15,102003,2.36,0.79,0.14
2017-05-01,7392,8.59,7.29,103187,2.41,0.93,0.31
2017-06-01,7375,8.17,6.99,103498,2.34,0.81,-0.23
2017-07-01,6532,8.14,7.31,103061,2.4,0.8,0.24
2017-08-01,6920,8.47,7.2,103574,2.41,0.8,0.19
2017-09-01,6635,8.29,7.08,103500,2.39,0.64,0.16
2017-10-01,6877,8.4,7.27,103733,2.43,0.64,0.42
2017-11-01,6601,8.28,7.03,104109,2.42,0.57,0.28
2017-12-01,7106,7.91,6.52,101985,2.4,0.54,0.44
2018-01-01,7571,8.06,6.89,102813,2.48,0.58,0.29
2018-02-01,6956,7.85,7.02,103604,2.42,0.47,0.32
2018-03-01,7741,7.81,6.99,105090,2.43,0.53,0.09
2018-04-01,7811,7.91,6.99,105932,2.42,0.52,0.22
2018-05-01,8394,7.77,6.58,107062,2.4,0.52,0.4
2018-06-01,8082,7.63,6.58,108135,2.37,0.52,1.26
2018-07-01,8186,7.61,6.74,108367,2.39,0.54,0.33
2018-08-01,8712,7.57,6.85,109755,2.36,0.57,-0.09
2018-09-01,7473,7.47,6.88,109508,2.34,0.47,0.48
2018-10-01,8947,7.47,7.04,111162,2.36,0.54,0.45
2018-11-01,8559,7.49,6.91,112589,2.31,0.49,-0.21
2018-12-01,9752,7.42,6.27,113155,2.37,0.49,0.15
2019-01-01,10248,7.39,6.64,115710,2.35,0.54,0.32
2019-02-01,8932,7.25,6.89,117521,2.25,0.49,0.43
2019-03-01,8769,7.4,6.94,119412,2.25,0.47,0.75
2019-04-01,9324,7.38,7.07,121332,2.22,0.52,0.57
2019-05-01,10319,7.61,6.79,124175,2.27,0.54,0.13
2019-06-01,9471,7.76,6.8,125953,2.25,0.47,0.01
2019-07-01,10377,7.88,6.76,126705,2.26,0.57,0.19
2019-08-01,10110,7.64,6.65,127712,2.22,0.5,0.11
2019-09-01,9946,7.86,6.5,128675,2.28,0.46,-0.04
2019-10-01,12041,7.9,5.88,130769,2.27,0.48,0.1
2019-11-01,10333,7.91,6.05,132502,2.26,0.38,0.51
2019-12-01,11251,8.13,5.7,132280,2.29,0.37,1.15
2020-01-01,11760,8.17,6.1,135038,2.3,0.38,0.21
2020-02-01,10274,8.08,6.23,136862,2.28,0.29,0.25
2020-03-01,12417,8.39,5.71,137734,2.29,0.34,0.07
2020-04-01,11994,8.62,5.32,138854,2.35,0.28,-0.31
2020-05-01,9647,8.57,5.33,138135,2.42,0.24,-0.38
2020-06-01,11525,7.91,5.26,137492,2.38,0.21,0.26
2020-07-01,9449,7.52,5.13,138021,2.45,0.19,0.36
2020-08-01,10219,7.03,4.54,138870,2.6,0.16,0.24
2020-09-01,12308,6.11,4.5,141779,2.85,0.16,0.64
2020-10-01,10824,5.94,4.88,145403,3.01,0.16,0.86
2020-11-01,11065,5.93,5.03,146098,2.95,0.15,0.89
2020-12-01,12383,5.36,4.69,150534,2.86,0.16,1.35
2021-01-01,9600,5.33,5.25,153528,2.78,0.15,0.25
2021-02-01,9913,5.28,5.23,157338,2.74,0.13,0.86
2021-03-01,13249,5.34,5.27,162520,2.68,0.2,0.93
2021-04-01,12174,5.41,5.32,166218,2.62,0.21,0.31
2021-05-01,12478,5.28,5.05,169473,2.68,0.27,0.83
2021-06-01,14133,5.2,5.01,174103,2.64,0.31,0.53
2021-07-01,14819,5.08,4.87,179436,2.69,0.36,0.96
2021-08-01,16292,5.17,5.01,186993,2.75,0.43,0.87
2021-09-01,16409,5.13,4.89,194531,2.7,0.44,1.16
2021-10-01,15494,5.16,5.19,203215,2.57,0.49,1.25
2021-11-01,15473,5.01,5.23,207094,2.61,0.59,0.95
2021-12-01,14819,5.21,5.27,212176,2.66,0.77,0.73
2022-01-01,17639,5.51,5.01,219734,2.7,0.73,0.54
2022-02-01,13812,5.57,5.18,223617,2.68,0.76,1.01
2022-03-01,15779,6.0,5.4,228771,2.63,0.93,1.62
2022-04-01,14477,6.19,5.22,231938,2.57,0.83,1.06
2022-05-01,15536,6.61,5.32,235852,2.59,1.03,0.47
2022-06-01,15210,6.86,5.37,238667,2.48,1.02,0.67
2022-07-01,14125,7.2,5.33,241111,2.48,1.03,-0.68
2022-08-01,15560,7.59,5.27,243261,2.4,1.17,-0.36
2022-09-01,15116,7.75,5.1,245777,2.26,1.07,-0.29
2022-10-01,13986,7.89,5.19,248752,2.22,1.02,0.59
2022-11-01,13477,8.06,5.32,250277,2.2,1.02,0.41
2022-12-01,14924,8.14,5.11,251615,2.24,1.12,0.62
2023-01-01,14607,8.27,5.22,255040,2.29,1.12,0.53
2023-02-01,12149,8.15,5.34,256097,2.23,0.92,0.84
2023-03-01,15228,8.14,5.4,255144,2.16,1.17,0.71
2023-04-01,12534,8.15,5.61,260037,2.19,0.92,0.61
2023-05-01,14774,8.11,5.56,262949,2.25,1.12,0.23
2023-06-01,13956,8.08,5.55,258786,2.32,1.07,-0.08
2023-07-01,13740,7.89,5.61,258014,2.28,1.07,0.12
2023-08-01,15752,7.55,5.61,261721,2.26,1.14,0.23
2023-09-01,14908,7.29,5.55,262805,2.3,0.97,0.26
2023-10-01,15215,7.11,5.47,266196,2.36,1.0,0.24
2023-11-01,15511,6.83,5.67,268383,2.39,0.92,0.28
2023-12-01,14376,6.75,5.68,267016,2.36,0.89,0.56
2024-01-01,18200,6.63,5.5,277178,2.35,0.97,0.42
2024-02-01,16949,6.49,5.58,282474,2.32,0.8,0.83
2024-03-01,16536,6.44,5.78,287011,2.3,0.83,0.16
2024-04-01,18552,6.48,5.76,288878,2.26,0.89,0.38
2024-05-01,19029,6.53,5.75,294413,2.34,0.83,0.46
2024-06-01,17003,6.48,5.74,296499,2.26,0.79,0.21
2024-07-01,20201,6.59,5.91,300613,2.32,0.91,0.38
2024-08-01,20170,6.5,5.74,306733,2.3,0.87,-0.02
2024-09-01,19946,6.49,5.69,313635,2.37,0.84,0.44
2024-10-01,22033,6.41,5.82,321420,2.4,0.93,0.56
2024-11-01,19420,6.37,5.92,326070,2.36,0.79,0.39
2024-12-01,20521,6.46,6.09,326582,2.3,0.93,0.52
2025-01-01,22880,7.09,5.94,336108,2.43,1.01,0.16
2025-02-01,20026,7.37,6.22,342096,2.37,0.99,1.31
2025-03-01,20057,7.32,6.18,345990,2.36,0.96,0.56
2025-04-01,20788,7.67,6.2,351433,2.4,1.06,0.43
2025-05-01,21364,7.91,6.13,354813,2.41,1.14,0.26
2025-06-01,21169,8.25,6.31,359296,2.47,1.1,0.24
2025-07-01,23002,8.66,6.15,365578,2.57,1.28,0.26
2025-08-01,21591,9.13,6.12,369249,2.61,1.16,-0.11
2025-09-01,24386,8.78,5.99,373360,2.57,1.22,0.48
2025-10-01,25495,8.92,6.0,382612,2.61,1.28,0.09
2025-11-01,19821,8.91,6.44,390071,2.62,1.05,0.18
2025-12-01,21753,9.16,6.65,388413,2.81,1.22,0.33
