data,concessoes_milhoes,inadimplencia_nao_consignado_pct,juros_nao_consignado_pct_mes,saldo_nao_consignado_milhoes,inadimplencia_consignado_pct,selic_pct_mes,ipca_pct_mes,concessoes_media_movel_3m,concessoes_var_12m_pct_mm3,concessoes_media_movel_6m,concessoes_var_12m_pct_mm6,concessoes_var_12m_pct,saldo_var_12m_pct,inadimplencia_var_12m_pp,diferencial_inadimplencia_pp,premio_sobre_selic_pp,indice_precos_ipca,concessoes_reais_milhoes,saldo_real_milhoes,concessoes_reais_media_movel_3m,concessoes_reais_var_12m_pct_mm3,concessoes_reais_media_movel_6m,concessoes_reais_var_12m_pct_mm6,concessoes_reais_var_12m_pct,saldo_real_var_12m_pct,limite_neutro_concessoes_pct,limite_neutro_inadimplencia_pp,janela_media_movel_meses,percentil_neutro,modo_limite,movimento_concessoes_real,movimento_inadimplencia,cenario_principal
2011-03-01,6198,6.9,4.72,67845,2.73,0.92,0.79,,,,,,,,4.17,3.8,1.0079,14015.76400192687,153420.37894655188,,,,,,,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2011-04-01,5871,7.09,4.86,69215,2.73,0.84,0.77,,,,,,,,4.359999999999999,4.0200000000000005,1.01566083,13174.860520637212,155322.42734387747,,,,,,,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2011-05-01,6663,7.44,4.89,70433,2.76,0.99,0.47,6244.0,,,,,,,4.680000000000001,3.8999999999999995,1.020434435901,14882.207541944403,157316.3025366607,14024.27735483616,,,,,,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2011-06-01,6786,7.38,4.9,72007,2.74,0.96,0.15,6440.0,,,,,,,4.64,3.9400000000000004,1.0219650875548516,15134.234020368922,160591.03877169246,14397.100694316847,,,,,,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2011-07-01,6327,7.62,5.03,72312,2.76,0.97,0.16,6592.0,,,,,,,4.86,4.0600000000000005,1.0236002316949395,14088.024831780229,161013.6323116314,14701.488798031185,,,,,,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2011-08-01,7061,7.92,4.96,73732,2.76,1.07,0.37,6724.666666666667,,6484.333333333333,,,,,5.16,3.8899999999999997,1.027387552552211,15664.428738245726,163570.26762899503,14962.229196798295,,14493.253275817226,,,,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2011-09-01,6630,8.04,4.96,75579,2.74,0.94,0.53,6672.666666666667,,6556.333333333333,,,,,5.299999999999999,4.02,1.0328327065807377,14630.736734813936,166783.77853401244,14794.396768279963,,14595.748731298403,,,,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2011-10-01,6390,8.26,5.06,76862,2.83,0.88,0.43,6693.666666666667,,6642.833333333333,,,,,5.43,4.18,1.0372738872190348,14040.742114407454,168888.81383373798,14778.63586248904,,14740.062330260114,,,,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2011-11-01,6999,8.38,4.84,78388,2.85,0.86,0.52,6673.0,,6698.833333333333,,,,,5.530000000000001,3.98,1.042667711432574,15299.340776746172,171350.8679536475,14656.93987532252,,14809.584536060405,,,,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2011-12-01,6865,8.51,4.67,79699,2.85,0.91,0.5,6751.333333333333,,6712.0,,,,,5.66,3.76,1.0478810499897366,14931.767001876242,173349.87593336267,14757.283297676622,,14775.84003297829,,,,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2012-01-01,6777,8.77,5.03,80563,2.89,0.89,0.56,6880.333333333333,,6787.0,,,,,5.879999999999999,4.140000000000001,1.0537491838696793,14658.275633396212,174253.30675126147,14963.127804006208,,14870.881833247624,,,,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2012-02-01,6580,8.62,5.09,81719,2.87,0.75,0.45,6740.666666666667,,6706.833333333333,,,,,5.749999999999999,4.34,1.0584910551970927,14168.417665399767,175961.84243142913,14586.153433557409,,14621.546654439966,,,,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2012-03-01,7548,8.0,4.89,82674,2.85,0.82,0.21,6968.333333333333,,6859.833333333333,,,21.8571744417422,1.0999999999999996,5.15,4.069999999999999,1.0607138864130066,16218.70918160578,177645.14611553738,15015.13416013392,,14886.208728905272,,,15.789797506252334,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2012-04-01,7261,8.24,4.63,83607,2.88,0.71,0.64,7129.666666666667,,7005.0,,,20.793180668930145,1.1500000000000004,5.36,3.92,1.0675024552860497,15502.802120435515,178507.47512508638,15296.642989147023,,15129.885396576612,,,14.927044456933558,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2012-05-01,8113,8.65,4.4,85042,2.88,0.74,0.36,7640.666666666667,22.36814008114456,7190.666666666667,,22.36814008114456,20.741697783709334,1.21,5.7700000000000005,3.66,1.0713454641250795,17259.75355310791,180920.0002050293,16327.088285049735,16.42017532845974,15456.620859303572,,16.42017532845974,15.003974341990434,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2012-06-01,7489,8.73,4.34,85986,2.79,0.64,0.08,7621.0,18.338509316770192,7294.666666666667,,18.338509316770192,19.413390364825634,1.3500000000000005,5.94,3.6999999999999997,1.0722025404963795,15919.508243919487,182782.05846730684,16227.354639154304,12.712656413939904,15621.244399644112,,12.712656413939904,13.818342458798494,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2012-07-01,6890,9.08,4.46,86035,2.74,0.68,0.43,7497.333333333333,13.733818770226524,7313.5,,13.733818770226524,18.977486447615878,1.46,6.34,3.78,1.0768130114205139,14583.493647978037,182103.1750368346,15920.91848166848,8.29459995779882,15608.78073540775,,8.29459995779882,13.097985817987002,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2012-08-01,7159,9.3,4.43,86896,2.81,0.69,0.41,7179.333333333333,6.7611777535441675,7410.0,14.275433095152422,6.7611777535441675,17.85384907502847,1.3800000000000008,6.49,3.7399999999999998,1.081227944767338,15090.990657589045,183174.56686434665,15197.997516495523,1.5757566375716126,15762.542900772627,8.757796478126,1.5757566375716126,11.985246169442876,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2012-09-01,6045,9.19,4.36,88538,2.77,0.54,0.57,6698.0,0.37965830752322294,7159.5,9.199755961157162,0.37965830752322294,17.146297251882125,1.1500000000000004,6.42,3.8200000000000003,1.087390944052512,12670.485110846075,185578.06629348054,14114.989805471052,-4.592326226275068,15171.172222312678,3.942404748174111,-4.592326226275068,11.268654496657371,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
2012-10-01,7272,8.86,4.41,89577,2.77,0.61,0.59,6825.333333333333,1.9670335142672135,7161.333333333333,7.805404320445586,1.9670335142672135,16.542634852072545,0.5999999999999996,6.09,3.8000000000000003,1.093806550622422,15152.908464718648,186654.57666998106,14304.79474438459,-3.206257482174968,15112.856613026534,2.5291228382468,-3.206257482174968,10.519206354147602,,,3,0.2,expanding,Sem historico suficiente,Sem historico suficiente,Sem historico suficiente
